card_name,times_played
Two Time,1
Inflate,1
Scramble,1
Scramble,1
Payback,1
Payback,1
Bounty,1
Lock,1
Bounty,1
Lock,1
Bounty,1
Inflate,1
Scramble,1
Two Time,1
Peek,1
Trap,1
Trap,1
Bounty,1
Payback,1
Trap,1
Payback,1
Trap,1
Bounty,1
Scramble,1
Trap,1
Payback,1
Payback,1
Peek,1
Peek,1
Inflate,1
Inflate,1
Peek,1
Peek,1
Inflate,1
Inflate,1
Trap,1
Bounty,1
Two Time,1
Two Time,1
Windfall,1
Oracle,1
Fog,1
Scramble,1
Blind,1
Bounty,1
Peek,1
Trap,1
Curse,1
Bleed,1
Inflate,1
Inflate,1
Two Time,1
Bleed,1
Bleed,1
